SWBD-DAMSL,SWBD,Response
Statement-non-opinion,sd,no
Acknowledge (Backchannel) ,b,no
Statement-opinion,sv,yes
Agree/Accept,aa,yes
Abandoned or Turn-Exit ,% -,no
Appreciation,ba,no
Yes-No-Question,qy,yes
Non-verbal ,x,no
Yes answers ,ny,no
Conventional-closing,fc,no
Uninterpretable,%,no
Wh-Question,qw,yes
No answers,nn,no
Response Acknowledgement,bk,no
Hedge,h,no
Declarative Yes-No-Question ,qy^d,yes
Other,"o,fo,bc,by,fw",no
Backchannel in question form ,bh,no
Quotation,^q,yes
Summarize/reformulate,bf,no
Affirmative non-yes answers,"na,ny^e",no
Action-directive ,ad,yes
Collaborative Completion,^2,maybe
Repeat-phrase,b^m,no
Open-Question,qo,yes
Rhetorical-Questions,qh,no
Hold before answer/agreement,^h,maybe
Reject,ar,no
Negative non-no answers,"ng,nn^e",no
Signal-non-understanding,br,no
Other answers,no,maybe
Conventional-opening,fp,yes
Or-Clause,qrr,maybe
Dispreferred answers,"arp,nd",no
3rd-party-talk ,t3,no
"Offers, Options Commits","oo,cc,co",yes
Self-talk,t1,no
Downplayer,bd,no
Maybe/Accept-part,aap/am,maybe
Tag-Question,^g,yes
Declarative Wh-Question,qw^d,no
Apology,fa,yes
Thanking,ft,yes
