,Component,Accuracy,Prediction Variance
0,2,0.6174473862864902,0.5645917066930479
1,3,0.7688391038696538,0.5934512822408375
2,4,0.769857433808554,0.6084705791427821
3,5,0.8272233536999322,0.6130878245121069
4,10,0.8479293957909029,0.6659443925019
5,15,0.8536999321113374,0.7108040204895202
6,20,0.8458927359131025,0.7133927980868531
7,25,0.8778004073319755,0.7411735143256866
8,30,0.8744059742023083,0.7645731246828251
9,35,0.8652410047522063,0.75943123271477
10,40,0.878479293957909,0.7743254816486032
11,45,0.8886625933469111,0.7974366403973432
12,50,0.8906992532247114,0.8138664642020125
13,55,0.8744059742023083,0.7993578287679338
14,60,0.891378139850645,0.8131550443809453
15,65,0.8934147997284454,0.8195014823810336
16,70,0.8896809232858113,0.8188520713510428
17,75,0.8910386965376782,0.8351018718262835
18,80,0.8934147997284454,0.8337186213672083
19,85,0.90020366598778,0.8456033907361407
20,90,0.8978275627970129,0.847730076916388
21,95,0.9012219959266803,0.8505900821834653
22,100,0.9022403258655805,0.8601693941691172
23,150,0.9093686354378818,0.889828067926145
24,200,0.9154786150712831,0.912245331968688
25,250,0.9171758316361168,0.9332790122475185
26,300,0.9151391717583164,0.9414299120167765
27,350,0.9161575016972165,0.945606377040249
28,400,0.9192124915139172,0.9524104365851127
29,450,0.9168363883231501,0.9529851197876664
30,500,0.9212491513917176,0.9576720550893111
