,Component,Accuracy,Prediction Variance
0,2,0.461642905634759,0.4982936373049713
1,3,0.6181262729124236,0.5421862221520498
2,4,0.7403258655804481,0.5597746016700815
3,5,0.7410047522063815,0.5610181774969194
4,10,0.8190767141887305,0.6207813899141018
5,15,0.8445349626612356,0.6529700136918277
6,20,0.8496266123557366,0.6809807116840176
7,25,0.8740665308893415,0.7180473562714345
8,30,0.8744059742023083,0.7238936665885952
9,35,0.8747454175152749,0.7383861165115445
10,40,0.8764426340801086,0.7547848986106858
11,45,0.879837067209776,0.7775292895320285
12,50,0.8835709436524101,0.7661704511210298
13,55,0.8954514596062457,0.8089092945475966
14,60,0.8903598099117448,0.804037085670011
15,65,0.8978275627970129,0.8252692962627373
16,70,0.8954514596062457,0.8291080676739471
17,75,0.8957909029192125,0.8327871957399494
18,80,0.9069925322471147,0.8353376968500035
19,85,0.9131025118805159,0.8454120509039
20,90,0.9134419551934827,0.8529294529379585
21,95,0.906653088934148,0.8504699870976603
22,100,0.9114052953156823,0.8514398587962914
23,150,0.9158180583842498,0.9100461932358513
24,200,0.9154786150712831,0.9303708080779396
25,250,0.9192124915139172,0.940440971341662
26,300,0.9209097080787508,0.951752920702714
27,350,0.9222674813306178,0.9591175634780282
28,400,0.927019687712152,0.9636471056846991
29,450,0.9280380176510523,0.9699895443756364
30,500,0.9229463679565513,0.9696385654398068
