,Component,Accuracy,Component Variance,Prediction Variance
0,2,0.5872369314324508,0.6746991234273287,0.637417930201001
1,3,0.7433808553971487,0.715914145413237,0.7656581984561326
2,4,0.758316361167685,0.7346621445240374,0.7733974366292153
3,5,0.7895451459606245,0.751608281085874,0.813392512631538
4,10,0.845213849287169,0.8050613189433652,0.8595226842560691
5,15,0.8496266123557366,0.8357605460588586,0.8657080092208895
6,20,0.8635437881873728,0.8578598268016734,0.8745949498201256
7,25,0.8740665308893415,0.875767487422747,0.8838266463618355
8,30,0.8808553971486762,0.8906334518510406,0.886149715405111
9,35,0.8859470468431772,0.9032383539516289,0.8866678006321287
10,40,0.8930753564154786,0.9139418353160982,0.8930056781988671
11,45,0.895112016293279,0.9230922744218779,0.894148053270501
12,50,0.896469789545146,0.9308646333687458,0.8950748226942258
13,55,0.9015614392396469,0.9376003816248546,0.8969241757631246
14,60,0.9086897488119484,0.9432008107116228,0.8978420028417631
15,65,0.911744738628649,0.9483076231430801,0.8972272261302172
16,70,0.9114052953156823,0.9529339324078197,0.8958284530960682
17,75,0.9134419551934827,0.9570268776084228,0.8967391262986378
18,80,0.9076714188730483,0.9607719972110296,0.8931697607180665
19,85,0.9110658520027155,0.9641616390536372,0.8967737921555465
20,90,0.9097080787508486,0.9673092563292888,0.8948079983378654
21,95,0.9131025118805159,0.9702038426997914,0.895274370173512
22,100,0.9110658520027155,0.9728296603769678,0.8930323149714644
23,150,0.9215885947046843,0.9891358292715745,0.8956195827463731
24,200,0.9266802443991853,0.9953320653526705,0.8965733694680179
25,250,0.9276985743380856,0.9980577204888408,0.8972459860286323
26,300,0.9260013577732519,0.9992907598341029,0.8963645371708551
27,350,0.9260013577732519,0.9998236947713266,0.8963645371708551
28,400,0.9256619144602851,0.9999718096545099,0.8962294887337867
29,450,0.9256619144602851,0.9999998385539766,0.8962294887337867
30,500,0.9256619144602851,0.9999999999999993,0.8962294887337867
